b-last,b-avg,b-min,b-max,c-last,c-avg,c-min,c-max,d-last,d-avg,d-min,d-max,e-last,e-avg,e-min,e-max,e2e-last,e2e-avg,e2e-min,e2e-max
0,0.0,0,0,145,296.3,113,984,1,1.3,0,33,95,97.8,77,249,241,395.4,206,1071
0,0.0,0,0,302,296.4,113,984,1,1.3,0,33,94,97.7,77,249,397,395.5,206,1071
0,0.0,0,0,343,296.7,113,984,1,1.3,0,33,88,97.6,77,249,432,395.7,206,1071
0,0.0,0,0,336,297.0,113,984,1,1.3,0,33,104,97.7,77,249,441,396.1,206,1071
0,0.0,0,0,268,296.8,113,984,1,1.3,0,33,110,97.8,77,249,379,395.9,206,1071
0,0.0,0,0,246,296.4,113,984,1,1.3,0,33,90,97.7,77,249,337,395.5,206,1071
0,0.0,0,0,294,296.4,113,984,2,1.3,0,33,86,97.6,77,249,382,395.4,206,1071
0,0.0,0,0,395,297.1,113,984,0,1.3,0,33,108,97.7,77,249,503,396.2,206,1071
0,0.0,0,0,222,296.6,113,984,1,1.3,0,33,115,97.8,77,249,338,395.8,206,1071
0,0.0,0,0,183,295.8,113,984,1,1.3,0,33,90,97.8,77,249,274,394.9,206,1071
0,0.0,0,0,236,295.4,113,984,1,1.3,0,33,84,97.7,77,249,321,394.4,206,1071
0,0.0,0,0,355,295.8,113,984,1,1.3,0,33,85,97.6,77,249,441,394.7,206,1071
0,0.0,0,0,270,295.6,113,984,1,1.3,0,33,96,97.6,77,249,367,394.5,206,1071
0,0.0,0,0,290,295.6,113,984,1,1.3,0,33,92,97.6,77,249,383,394.4,206,1071
0,0.0,0,0,387,296.2,113,984,0,1.3,0,33,110,97.6,77,249,497,395.1,206,1071
0,0.0,0,0,364,296.7,113,984,0,1.3,0,33,102,97.7,77,249,466,395.6,206,1071
0,0.0,0,0,172,295.8,113,984,1,1.3,0,33,98,97.7,77,249,271,394.8,206,1071
0,0.0,0,0,186,295.1,113,984,1,1.3,0,33,88,97.6,77,249,275,394.0,206,1071
0,0.0,0,0,277,295.0,113,984,1,1.3,0,33,86,97.5,77,249,364,393.8,206,1071
0,0.0,0,0,262,294.7,113,984,1,1.3,0,33,107,97.6,77,249,370,393.6,206,1071
0,0.0,0,0,381,295.3,113,984,1,1.3,0,33,92,97.6,77,249,474,394.1,206,1071
0,0.0,0,0,346,295.6,113,984,1,1.3,0,33,100,97.6,77,249,447,394.5,206,1071
0,0.0,0,0,326,295.8,113,984,1,1.3,0,33,102,97.6,77,249,429,394.7,206,1071
0,0.0,0,0,391,296.5,113,984,0,1.3,0,33,88,97.5,77,249,479,395.3,206,1071
0,0.0,0,0,268,296.3,113,984,1,1.3,0,33,85,97.5,77,249,354,395.0,206,1071
0,0.0,0,0,297,296.3,113,984,1,1.3,0,33,89,97.4,77,249,387,394.9,206,1071
0,0.0,0,0,431,297.1,113,984,1,1.3,0,33,107,97.5,77,249,539,395.9,206,1071
0,0.0,0,0,357,297.5,113,984,1,1.3,0,33,107,97.5,77,249,465,396.3,206,1071
0,0.0,0,0,203,296.9,113,984,1,1.3,0,33,100,97.5,77,249,304,395.7,206,1071
0,0.0,0,0,145,296.0,113,984,1,1.3,0,33,99,97.5,77,249,245,394.8,206,1071
0,0.0,0,0,375,296.5,113,984,1,1.3,0,33,87,97.5,77,249,463,395.2,206,1071
0,0.0,0,0,300,296.5,113,984,0,1.3,0,33,98,97.5,77,249,398,395.2,206,1071
0,0.0,0,0,359,296.9,113,984,1,1.3,0,33,99,97.5,77,249,459,395.6,206,1071
0,0.0,0,0,145,295.9,113,984,1,1.2,0,33,97,97.5,77,249,243,394.7,206,1071
0,0.0,0,0,376,296.4,113,984,1,1.2,0,33,99,97.5,77,249,476,395.2,206,1071
0,0.0,0,0,160,295.6,113,984,2,1.3,0,33,96,97.5,77,249,258,394.3,206,1071
0,0.0,0,0,167,294.8,113,984,2,1.3,0,33,88,97.4,77,249,257,393.5,206,1071
0,0.0,0,0,456,295.8,113,984,1,1.3,0,33,97,97.4,77,249,554,394.5,206,1071
0,0.0,0,0,224,295.4,113,984,2,1.3,0,33,78,97.3,77,249,304,393.9,206,1071
0,0.0,0,0,256,295.1,113,984,1,1.3,0,33,93,97.3,77,249,350,393.7,206,1071
0,0.0,0,0,446,296.0,113,984,0,1.3,0,33,91,97.3,77,249,537,394.5,206,1071
0,0.0,0,0,290,296.0,113,984,1,1.2,0,33,105,97.3,77,249,396,394.5,206,1071
0,0.0,0,0,249,295.7,113,984,1,1.2,0,33,445,99.3,77,445,695,396.3,206,1071
